path,extension,size_bytes,line_count,sha256,defines,includes,typedefs,structs,enums,functions
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/m_ex/include/1p.h,.h,1558,34,a9a79b4bfbc1df745f1e6bfc083be9f52e91c09e736b666582f93b05a26dcd2a,1,2,0,2,1,0
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/m_ex/include/audio.h,.h,17743,503,bae4edbf04279b7edd5169dad3d91bfe42826f0ddc93a27d26402bc6f322b4b3,1,2,0,20,10,38
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/m_ex/include/collision.h,.h,12049,301,557e412910c84f58ea067c951ea7d18952e5c5d62220091f9ef90656e7941b54,9,3,0,10,1,31
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/m_ex/include/color.h,.h,2258,62,112236ad6d1b43702a54a14f22a6d58e8ec2052367b59d499c8a8dfe035a8167,1,3,0,2,0,2
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/m_ex/include/cpu.c,.c,4605,154,fd34d1b519c96448977e8777d774521482afa94b5decd0febe7fd819b6b7bed0,0,1,0,0,0,0
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/m_ex/include/cpu.h,.h,7451,135,fbeaf3654d28ca95b22fd4a3b8e4b2e1f4349f116f0b2ac681e0c07a73756a88,54,0,0,3,0,10
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/m_ex/include/css.h,.h,12677,361,3f94f00f9b432614b4fcf226869ec65461f791114ac2f084cd8bef4b47c5a1df,1,4,0,13,6,26
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/m_ex/include/datatypes.h,.h,1362,74,ba9ab42befcf3e44960b207bb127a86020581b80c8074699419aa23078aa76cc,19,2,10,3,0,0
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/m_ex/include/devtext.h,.h,2189,64,dea54e358c77a42dd0bf1c5e44598f15bcff9751c3d3562e38c9b192c6af1cb8,1,2,0,1,0,14
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/m_ex/include/dynamics.h,.h,3261,95,25fab8621bafd9ae57d9632264651d3701daf5843722381e5c866d6a515d19b8,1,3,0,6,0,6
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/m_ex/include/effects.h,.h,8065,250,15fd186666ecd9dd8363edc6d9a3d736741494a3a0470a083de140530cd6729a,2,3,0,11,0,18
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/m_ex/include/fighter.h,.h,150879,3474,84e41eb8e7776202e049b28e8650ca25ea41a6a1ba303790ab32f978b79fe3dc,39,10,0,85,14,295
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/m_ex/include/gx.h,.h,19353,890,7e0e1622531700ec8a19e7a6e645255d9ec3cb40a4c12232fa58ddc45c35fdb8,1,3,0,5,54,57
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/m_ex/include/hsd.h,.h,14211,383,20e1cab029701acfcb3a88e0d9d0b8f4da531fb898e8f2a3e6fc494eb3b1e556,37,4,0,31,3,64
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/m_ex/include/inline.h,.h,16943,783,ea648f86412fa2f02dd446138afa254233dbb3a08c1e513cff9e279443e7c962,2,11,0,0,0,4
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/m_ex/include/item.h,.h,50962,1074,81f522c93b2cac7404eb80673a7d5bc339aff2e6c78f45fc2bb16bf4e8748535,4,7,0,14,3,65
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/m_ex/include/kirby.h,.h,857,31,bde6f8733636f94836532f13cb3da3d6238235f6b36febcea2969d98a069a395,2,7,0,1,0,5
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/m_ex/include/match.h,.h,117943,2907,5e4e2f7daf1b599c246139ecb1068cf9416bf606b4cf4ef13449970f137e65cf,25,6,0,13,6,68
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/m_ex/include/math.h,.h,3194,97,9ad1289b8f9b48f773959b40cbff5b4e2b66928e4a6151bb437dd91a1f1eb2ff,6,2,0,1,0,41
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/m_ex/include/memcard.h,.h,105459,2837,c71f10c3db7434090ede1cb600c5180619949b6deae20a2d9fe19e59df41c10e,3,3,0,11,2,13
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/m_ex/include/mex.h,.h,578,34,4866bd8511497b3caa87643743b6a98e7d70ded26cd02cbd04820d74cc9cb909,1,28,0,0,0,0
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/m_ex/include/mxdt.h,.h,13136,480,e1b7f02098909f77a06377a2580c28dd15167c5c7c844e305f52ee994542e258,3,3,0,22,2,11
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/m_ex/include/obj.h,.h,28085,897,9aeb5b3f3a888355def6bd2b4c03771a6eb96a913b2ac877febed5428242f882,118,3,0,72,2,113
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/m_ex/include/offsets.h,.h,641,19,7cb05a02a07da2f5f351d4ad2b5d6e067dd3af1642ebf85695fd85732afe2aa5,15,0,0,0,0,0
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/m_ex/include/preload.h,.h,10056,156,c55205603f89daa6960839868af95adb3f66dad757d7bfc519dc35dce12bb890,9,2,0,8,4,9
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/m_ex/include/scene.h,.h,7540,230,90822d3d1b03f45d74583073603e864f880013f9d860ad747b64018120ec239e,1,3,0,7,3,14
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/m_ex/include/shadow.h,.h,1623,63,3873e1ad2be8190bcd7a801c294b981a09e1fed2e73f40a7ab53ab0b704c0a3d,1,2,2,4,0,12
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/m_ex/include/slippi.c,.c,0,1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,0,0,0,0
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/m_ex/include/stage.h,.h,28111,660,31afc721e263ccc64fa620a062825de5110443045a01d5b2414e605ade205f35,4,5,0,16,3,60
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/m_ex/include/structs.h,.h,11188,334,5a966793386659d4d5eb36cbb881ea3f026ba32870ea5112aae0f66a76d13338,1,0,263,263,0,0
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/m_ex/include/text.h,.h,6242,122,569a44d0c648386f867984c68f427c1d31bc08ce1f2d9d381ff5b7b8ec821389,1,4,0,3,0,17
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/m_ex/include/useful.h,.h,26572,723,de2d861c84565ad32efae03017ff26291ab758ced5722bba2757ac0e19f62d77,160,2,2,42,0,84
